제목,URL,다시 읽기,메모,분류
빠르고 정확하게 답변을 받을 수 있는 질문하는 법,https://blog.2dal.com/2020/04/01/%EB%B9%A0%EB%A5%B4%EA%B3%A0-%EC%A0%95%ED%99%95%ED%95%98%EA%B2%8C-%EB%8B%B5%EB%B3%80%EC%9D%84-%EB%B0%9B%EC%9D%84-%EC%88%98-%EC%9E%88%EB%8A%94-%EC%A7%88%EB%AC%B8%ED%95%98%EB%8A%94-%EB%B2%95/,No,,문화
BigGraph,https://github.com/facebookresearch/PyTorch-BigGraph,No,,Graph
"최적화, 그래프 자료를 꾸준히 올려주심",https://frhyme.github.io/,No,,블로그 추천
비모수 통계학,http://kocw.net/home/search/kemView.do?kemId=1286877,No,,Statistics
Implementing the Clean Architecture in Python,https://leanpub.com/implementing-the-clean-architecture,No,,Development
torch serve,https://aws.amazon.com/blogs/machine-learning/deploying-pytorch-models-for-inference-at-scale-using-torchserve/,No,,MLOps
cortex,https://github.com/cortexproject/cortex,No,,MLOps
df-ml-anomaly-detection,https://github.com/GoogleCloudPlatform/df-ml-anomaly-detection,No,,Machine Learning
Bayesian Deep Learning and a Probabilistic Perspective of Generalization,https://arxiv.org/pdf/2002.08791.pdf,No,,Bayesian
ml-design-patterns,https://github.com/GoogleCloudPlatform/ml-design-patterns,No,,MLOps
imgaug,https://github.com/aleju/imgaug,No,Image augmentation for machine learning experiments,Deeplearning
ml system design pattern,https://github.com/mercari/ml-system-design-pattern,No,,MLOps
autoEDA-resources,https://github.com/mstaniak/autoEDA-resources,No,,"Data Visualization, DataOps, MLOps"
Bayesian Data Analysis,https://www.amazon.com/Bayesian-Analysis-Chapman-Statistical-Science-ebook/,No,,"Bayesian, Data Analysis"
Statistical Rethinking: A Bayesian Course with Examples in R and STAN,https://www.amazon.com/Statistical-Rethinking-Bayesian-Examples-Chapman-ebook/,No,,"Bayesian, Data Analysis, Statistics"
ml rest,https://github.com/apinf/ml-rest,No,,MLOps
awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,No,,Development
Dockerfile Best Practices,https://docs.docker.com/develop/develop-images/dockerfile_best-practices/,No,,"Development, MLOps"
Machine Learning Observability,https://medium.com/databand-ai/machine-learning-observability-641e65dc3ab7,No,,MLOps
Databand - dbnd,https://github.com/databand-ai/dbnd,No,,"Data Engineering, MLOps"
Jupyterhub 서버 체크,https://github.com/jupyterhub/jupyterhub/blob/master/examples/cull-idle/cull_idle_servers.py,No,,"DataOps, Development, MLOps"
pachyderm,https://github.com/pachyderm/pachyderm,No,,MLOps
Reproducibility in Machine Learning,https://fecht.io/posts/2019/reproducibility-in-ml/,No,,MLOps
pycaret,https://github.com/pycaret/pycaret,No,,MLOps
Open Platform for AI (OpenPAI),https://github.com/Microsoft/pai,No,,MLOps
Damaged car estimation model,https://forums.fast.ai/t/damaged-car-estimation-model/19215,No,,Deeplearning
